Energies generated by autodE on, 2023-05-09. Single point energies at PBE0-D3BJ/ma-def2-TZVP and optimisations at PBE0-D3BJ/ma-def2-SVP,,,
Species,E_opt,G_cont,H_cont,E_sp
red12_TFK-543,-1783.67735491697,0.318211165161411,0.395765351444133,-1785.29198099511
red13_TFK-727,-1763.84974161032,0.330504540420218,0.408601136720724,-1765.43603181076
red14_BTZ-043,-1892.6931915889,0.280439307333413,0.356677460665591,-1894.44791680424
red0_dehal-BTZ_solv,-1556.19093642815,0.280955633961488,0.348376913348511,-1557.65077129953
red1_TFK-718_solv,-1822.92237537447,0.345008090705333,0.425433273904271,-1824.67342594992
red2_TFK-661_solv,-1878.10463110315,0.358530509700367,0.442672340028023,-1879.91795981267
red3_TFK-449_solv,-4129.15136768331,0.267725506417078,0.339605838834961,-4130.9159775535
red4_TFK-483_solv,-1648.27465905856,0.277274919561639,0.348799231065341,-1649.82992265481
red5_TFK-659_solv,-1878.19096516401,0.363005847822847,0.44483868227119,-1879.99214185031
red6_TFK-660_solv,-1803.07675353211,0.356620453831394,0.437752892213319,-1804.80267164926
red8_TFK-710_solv,-2120.04132692582,0.33229523097936,0.417116717028487,-2121.79872116506
red9_TFK-719_solv,-1862.16792761422,0.371877325088054,0.454646143647901,-1863.95848152678
red10_TFK-726_solv,-1724.61683986499,0.303472166131367,0.378701078035693,-1726.26477073474
red11_TFK-471_solv,-1853.31262650842,0.26647796141861,0.339292649700122,-1854.77646623524
red12_TFK-543_solv,-1783.67735491697,0.318211165161411,0.395765351444133,-1785.38792481115
red13_TFK-727_solv,-1763.84974161032,0.330504540420218,0.408601136720724,-1765.53562613163
red14_BTZ-043_solv,-1892.6931915889,0.280439307333413,0.356677460665591,-1894.53617867591
ox1_TFK-746,-1801.788398628974,0.34082334786162594,0.41830086411613837,-1803.42046098578
ox1_TFK-746_solv,-1801.788398628974,0.34082334786162594,0.41830086411613837,-1803.450015769182
red1_TFK-746,-1801.854067869036,0.33739597809402655,0.4153430805126193,-1803.482383468588
red1_TFK-746_solv,-1801.854067869036,0.33739597809402655,0.4153430805126193,-1803.581393931516
ox0_TFK-709-2,-1897.9423969691,0.353306177752142,0.434911275340997,-1899.68526679574
ox0_TFK-709-2_solv,-1897.9423969691,0.353306177752142,0.434911275340997,-1899.71744298264
red0_TFK-709-2,-1898.01718387793,0.35095072441346,0.432117265123075,-1899.74891917589
red0_TFK-709-2_solv,-1898.01718387793,0.35095072441346,0.432117265123075,-1899.84277102151
ox0_TFK-520,-1744.383679531677,0.2951939468317616,0.3690751169141282,-1745.961701287984
ox0_TFK-520_solv,-1744.383679531677,0.2951939468317616,0.3690751169141282,-1745.992800521321
red0_TFK-520,-1744.454545344469,0.2920578085067579,0.3663126203691482,-1746.028371927846
red0_TFK-520_solv,-1744.454545344469,0.2920578085067579,0.3663126203691482,-1746.125488450005
